CATEGORIA_ID's;GRUPOS;CATEGORIAS
E83;E70 E90 Distúrbios metabólicos;E83 Distúrbios do metabolismo de minerais
E84;E70 E90 Distúrbios metabólicos;E84 Fibrose cística
E85;E70 E90 Distúrbios metabólicos;E85 Amiloidose
E86;E70 E90 Distúrbios metabólicos;E86 Depleção de volume
E87;E70 E90 Distúrbios metabólicos;E87 Outros transtornos do equilíbrio hidroeletrolítico e ácido-básico
E88;E70 E90 Distúrbios metabólicos;E88 Outros distúrbios metabólicos
E89;E70 E90 Distúrbios metabólicos;E89 Transtornos endócrinos e metabólicos pós-procedimentos
E90;E70 E90 Distúrbios metabólicos;E90 Transtornos nutricionais e metabólicos em doenças classificadas em outra parte
F00;F00 F09 Transtornos mentais orgânicos;F00 Demência na doença de Alzheimer
F01;F00 F09 Transtornos mentais orgânicos;F01 Demência vascular
F02;F00 F09 Transtornos mentais orgânicos;F02 Demência em outras doenças classificadas em outra parte
F03;F00 F09 Transtornos mentais orgânicos;F03 Demência não especificada
F04;F00 F09 Transtornos mentais orgânicos;F04 Síndrome amnésica orgânica não induzida pelo álcool ou por outras substâncias psicoativas
F05;F00 F09 Transtornos mentais orgânicos;F05 Delirium não induzido pelo álcool ou por outras substâncias psicoativas
F06;F00 F09 Transtornos mentais orgânicos;F06 Outros transtornos mentais devidos a lesão e disfunção cerebral e a doença física
F07;F00 F09 Transtornos mentais orgânicos;F07 Transtornos de personalidade e do comportamento devidos a doença
F09;F00 F09 Transtornos mentais orgânicos;F09 Transtorno mental orgânico ou sintomático não especificado
F10;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F10 Transtornos mentais e comportamentais devidos ao uso de álcool
F11;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F11 Transtornos mentais e comportamentais devidos ao uso de opiáceos
F12;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F12 Transtornos mentais e comportamentais devidos ao uso de canabinóides
F13;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F13 Transtornos mentais e comportamentais devidos ao uso de sedativos e hipnóticos
F14;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F14 Transtornos mentais e comportamentais devidos ao uso da cocaína
F15;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F15 Transtornos mentais e comportamentais devidos ao uso de outros estimulantes
F16;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F16 Transtornos mentais e comportamentais devidos ao uso de alucinógenos
F17;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F17 Transtornos mentais e comportamentais devidos ao uso de fumo
F18;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F18 Transtornos mentais e comportamentais devidos ao uso de solventes voláteis
F19;F10 F19 Transtornos mentais e comportamentais devidos ao uso de substância psicoativa;F19 Transtornos mentais e comportamentais devidos ao uso de múltiplas drogas e ao uso de outras substâncias psicoativas
F20;F20 F29 Esquizofrenia;F20 Esquizofrenia
F21;F20 F29 Esquizofrenia;F21 Transtorno esquizotípico
F22;F20 F29 Esquizofrenia;F22 Transtornos delirantes persistentes
F23;F20 F29 Esquizofrenia;F23 Transtornos psicóticos agudos e transitórios
F24;F20 F29 Esquizofrenia;F24 Transtorno delirante induzido
F25;F20 F29 Esquizofrenia;F25 Transtornos esquizoafetivos
F28;F20 F29 Esquizofrenia;F28 Outros transtornos psicóticos não-orgânicos
F29;F20 F29 Esquizofrenia;F29 Psicose não-orgânica não especificada
F30;F30 F39 Transtornos do humor [afetivos];F30 Episódio maníaco
F31;F30 F39 Transtornos do humor [afetivos];F31 Transtorno afetivo bipolar
F32;F30 F39 Transtornos do humor [afetivos];F32 Episódios depressivos
F33;F30 F39 Transtornos do humor [afetivos];F33 Transtorno depressivo recorrente
F34;F30 F39 Transtornos do humor [afetivos];F34 Transtornos de humor [afetivos] persistentes
F38;F30 F39 Transtornos do humor [afetivos];F38 Outros transtornos do humor [afetivos]
F39;F30 F39 Transtornos do humor [afetivos];F39 Transtorno do humor [afetivo] não especificado
F40;F40 F48 Transtornos neuróticos;F40 Transtornos fóbico-ansiosos
F41;F40 F48 Transtornos neuróticos;F41 Outros transtornos ansiosos
F42;F40 F48 Transtornos neuróticos;F42 Transtorno obsessivo-compulsivo
F43;F40 F48 Transtornos neuróticos;"F43 Reações ao ""stress"" grave e transtornos de adaptação"
F44;F40 F48 Transtornos neuróticos;F44 Transtornos dissociativos [de conversão]
F45;F40 F48 Transtornos neuróticos;F45 Transtornos somatoformes
F48;F40 F48 Transtornos neuróticos;F48 Outros transtornos neuróticos
F50;F50 F59 Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos;F50 Transtornos da alimentação
F51;F50 F59 Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos;F51 Transtornos não-orgânicos do sono devidos a fatores emocionais
F52;F50 F59 Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos;F52 Disfunção sexual
F53;F50 F59 Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos;F53 Transtornos mentais e comportamentais associados ao puerpério
F54;F50 F59 Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos;F54 Fatores psicológicos ou comportamentais associados a doença ou a transtornos classificados em outra parte
F55;F50 F59 Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos;F55 Abuso de substâncias que não produzem dependência
F59;F50 F59 Síndromes comportamentais associadas a disfunções fisiológicas e a fatores físicos;F59 Síndromes comportamentais associados a transtornos das funções fisiológicas e a fatores físicos
F60;F60 F69 Transtornos da personalidade e do comportamento do adulto;F60 Transtornos específicos da personalidade
F61;F60 F69 Transtornos da personalidade e do comportamento do adulto;F61 Transtornos mistos da personalidade e outros transtornos da personalidade
F62;F60 F69 Transtornos da personalidade e do comportamento do adulto;F62 Modificações duradouras da personalidade não atribuíveis a lesão ou doença cerebral
F63;F60 F69 Transtornos da personalidade e do comportamento do adulto;F63 Transtornos dos hábitos e dos impulsos
F64;F60 F69 Transtornos da personalidade e do comportamento do adulto;F64 Transtornos da identidade sexual
F65;F60 F69 Transtornos da personalidade e do comportamento do adulto;F65 Transtornos da preferência sexual
F66;F60 F69 Transtornos da personalidade e do comportamento do adulto;F66 Transtornos psicológicos e comportamentais associados ao desenvolvimento sexual e à sua orientação
F68;F60 F69 Transtornos da personalidade e do comportamento do adulto;F68 Outros transtornos da personalidade e do comportamento do adulto
F69;F60 F69 Transtornos da personalidade e do comportamento do adulto;F69 Transtorno da personalidade e do comportamento do adulto
F70;F70 F79 Retardo mental;F70 Retardo mental leve
F71;F70 F79 Retardo mental;F71 Retardo mental moderado
F72;F70 F79 Retardo mental;F72 Retardo mental grave
F73;F70 F79 Retardo mental;F73 Retardo mental profundo
F78;F70 F79 Retardo mental;F78 Outro retardo mental
F79;F70 F79 Retardo mental;F79 Retardo mental não especificado
F80;F80 F89 Transtornos do desenvolvimento psicológico;F80 Transtornos específicos do desenvolvimento da fala e da linguagem
F81;F80 F89 Transtornos do desenvolvimento psicológico;F81 Transtornos específicos do desenvolvimento das habilidades escolares
F82;F80 F89 Transtornos do desenvolvimento psicológico;F82 Transtorno específico do desenvolvimento motor
F83;F80 F89 Transtornos do desenvolvimento psicológico;F83 Transtornos específicos misto do desenvolvimento
F84;F80 F89 Transtornos do desenvolvimento psicológico;F84 Transtornos globais do desenvolvimento
F88;F80 F89 Transtornos do desenvolvimento psicológico;F88 Outros transtornos do desenvolvimento psicológico
F89;F80 F89 Transtornos do desenvolvimento psicológico;F89 Transtorno do desenvolvimento psicológico não especificado
F90;F90 F98 Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência;F90 Transtornos hipercinéticos
F91;F90 F98 Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência;F91 Distúrbios de conduta
F92;F90 F98 Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência;F92 Transtornos mistos de conduta e das emoções
F93;F90 F98 Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência;F93 Transtornos emocionais com início especificamente na infância
F94;F90 F98 Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência;F94 Transtornos do funcionamento social com início especificamente durante a infância ou a adolescência
F95;F90 F98 Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência;F95 Tiques
F98;F90 F98 Transtornos do comportamento e transtornos emocionais que aparecem habitualmente durante a infância ou a adolescência;F98 Outros transtornos comportamentais e emocionais com início habitualmente durante a infância ou a adolescência
F99;F99 F99 Transtorno mental não especificado;F99 Transtorno mental não especificado em outra parte
G00;G00 G09 Doenças inflamatórias do sistema nervoso central;G00 Meningite bacteriana não classificada em outra parte
G01;G00 G09 Doenças inflamatórias do sistema nervoso central;G01 Meningite em doenças bacterianas classificadas em outra parte
G02;G00 G09 Doenças inflamatórias do sistema nervoso central;G02 Meningite em outras doenças infecciosas e parasitárias classificadas em outra parte
G03;G00 G09 Doenças inflamatórias do sistema nervoso central;G03 Meningite devida a outras causas e a causas não especificadas
G04;G00 G09 Doenças inflamatórias do sistema nervoso central;G04 Encefalite
G05;G00 G09 Doenças inflamatórias do sistema nervoso central;G05 Encefalite
G06;G00 G09 Doenças inflamatórias do sistema nervoso central;G06 Abscesso e granuloma intracranianos e intra-raquidianos
G07;G00 G09 Doenças inflamatórias do sistema nervoso central;G07 Abscesso e granuloma intracranianos e intraspinais em doenças classificadas em outra parte
G08;G00 G09 Doenças inflamatórias do sistema nervoso central;G08 Flebite e tromboflebite intracranianas e intra-raquidianas
G09;G00 G09 Doenças inflamatórias do sistema nervoso central;G09 Seqüelas de doenças inflamatórias do sistema nervoso central
G10;G10 G13 Atrofias sistêmicas que afetam principalmente o sistema nervoso central;G10 Doença de Huntington
G11;G10 G13 Atrofias sistêmicas que afetam principalmente o sistema nervoso central;G11 Ataxia hereditária
G12;G10 G13 Atrofias sistêmicas que afetam principalmente o sistema nervoso central;G12 Atrofia muscular espinal e síndromes correlatas
G13;G10 G13 Atrofias sistêmicas que afetam principalmente o sistema nervoso central;G13 Atrofias sistêmicas que afetam principalmente o sistema nervoso central em doenças classificadas em outra parte
G20;G20 G26 Doenças extrapiramidais e transtornos dos movimentos;G20 Doença de Parkinson
G21;G20 G26 Doenças extrapiramidais e transtornos dos movimentos;G21 Parkinsonismo secundário
G22;G20 G26 Doenças extrapiramidais e transtornos dos movimentos;G22 Parkinsonismo em doenças classificadas em outra parte
G23;G20 G26 Doenças extrapiramidais e transtornos dos movimentos;G23 Outras doenças degenerativas dos gânglios da base
G24;G20 G26 Doenças extrapiramidais e transtornos dos movimentos;G24 Distonia
G25;G20 G26 Doenças extrapiramidais e transtornos dos movimentos;G25 Outras doenças extrapiramidais e transtornos dos movimentos
G26;G20 G26 Doenças extrapiramidais e transtornos dos movimentos;G26 Doenças extrapiramidais e transtornos dos movimentos em doenças classificadas em outra parte
G30;G30 G32 Outras doenças degenerativas do sistema nervoso;G30 Doença de Alzheimer
G31;G30 G32 Outras doenças degenerativas do sistema nervoso;G31 Outras doenças degenerativas do sistema nervoso não classificadas em outra parte
G32;G30 G32 Outras doenças degenerativas do sistema nervoso;G32 Outros transtornos degenerativos do sistema nervoso em doenças classificadas em outra parte
G35;G35 G37 Doenças desmielinizantes do sistema nervoso central;G35 Esclerose múltipla
G36;G35 G37 Doenças desmielinizantes do sistema nervoso central;G36 Outras desmielinizações disseminadas agudas
G37;G35 G37 Doenças desmielinizantes do sistema nervoso central;G37 Outras doenças desmielinizantes do sistema nervoso central
G40;G40 G47 Transtornos episódicos e paroxísticos;G40 Epilepsia
G41;G40 G47 Transtornos episódicos e paroxísticos;G41 Estado de mal epiléptico
G43;G40 G47 Transtornos episódicos e paroxísticos;G43 Enxaqueca
G44;G40 G47 Transtornos episódicos e paroxísticos;G44 Outras síndromes de algias cefálicas
G45;G40 G47 Transtornos episódicos e paroxísticos;G45 Acidentes vasculares cerebrais isquêmicos transitórios e síndromes correlatas
G46;G40 G47 Transtornos episódicos e paroxísticos;G46 Síndromes vasculares cerebrais que ocorrem em doenças cerebrovasculares
G47;G40 G47 Transtornos episódicos e paroxísticos;G47 Distúrbios do sono
G50;G50 G59 Transtornos dos nervos;G50 Transtornos do nervo trigêmeo
G51;G50 G59 Transtornos dos nervos;G51 Transtornos do nervo facial
G52;G50 G59 Transtornos dos nervos;G52 Transtornos de outros nervos cranianos
G53;G50 G59 Transtornos dos nervos;G53 Transtornos dos nervos cranianos em doenças classificadas em outra parte
G54;G50 G59 Transtornos dos nervos;G54 Transtornos das raízes e dos plexos nervosos
G55;G50 G59 Transtornos dos nervos;G55 Compressões das raízes e dos plexos nervosos em doenças classificadas em outra parte
G56;G50 G59 Transtornos dos nervos;G56 Mononeuropatias dos membros superiores
G57;G50 G59 Transtornos dos nervos;G57 Mononeuropatias dos membros inferiores
G58;G50 G59 Transtornos dos nervos;G58 Outras mononeuropatias
G59;G50 G59 Transtornos dos nervos;G59 Mononeuropatias em doenças classificadas em outra parte
G60;G60 G64 Polineuropatias e outros transtornos do sistema nervoso periférico;G60 Neuropatia hereditária e idiopática
G61;G60 G64 Polineuropatias e outros transtornos do sistema nervoso periférico;G61 Polineuropatia inflamatória
G62;G60 G64 Polineuropatias e outros transtornos do sistema nervoso periférico;G62 Outras polineuropatias
G63;G60 G64 Polineuropatias e outros transtornos do sistema nervoso periférico;G63 Polineuropatia em doenças classificadas em outra parte
G64;G60 G64 Polineuropatias e outros transtornos do sistema nervoso periférico;G64 Outros transtornos do sistema nervoso periférico
G70;G70 G73 Doenças da junção mioneural e dos músculos;G70 Miastenia gravis e outros transtornos neuromusculares
G71;G70 G73 Doenças da junção mioneural e dos músculos;G71 Transtornos primários dos músculos
G72;G70 G73 Doenças da junção mioneural e dos músculos;G72 Outras miopatias
G73;G70 G73 Doenças da junção mioneural e dos músculos;G73 Transtornos da junção mioneural e dos músculos em doenças classificadas em outra parte
G80;G80 G83 Paralisia cerebral e outras síndromes paralíticas;G80 Paralisia cerebral
G81;G80 G83 Paralisia cerebral e outras síndromes paralíticas;G81 Hemiplegia
G82;G80 G83 Paralisia cerebral e outras síndromes paralíticas;G82 Paraplegia e tetraplegia
G83;G80 G83 Paralisia cerebral e outras síndromes paralíticas;G83 Outras síndromes paralíticas
G90;G90 G99 Outros transtornos do sistema nervoso;G90 Transtornos do sistema nervoso autônomo
G91;G90 G99 Outros transtornos do sistema nervoso;G91 Hidrocefalia
G92;G90 G99 Outros transtornos do sistema nervoso;G92 Encefalopatia tóxica
G93;G90 G99 Outros transtornos do sistema nervoso;G93 Outros transtornos do encéfalo
G94;G90 G99 Outros transtornos do sistema nervoso;G94 Outros transtornos do encéfalo em doenças classificadas em outra parte
G95;G90 G99 Outros transtornos do sistema nervoso;G95 Outras doenças da medula espinal
G96;G90 G99 Outros transtornos do sistema nervoso;G96 Outros transtornos do sistema nervoso central
G97;G90 G99 Outros transtornos do sistema nervoso;G97 Transtornos pós-procedimento do sistema nervoso não classificados em outra parte
G98;G90 G99 Outros transtornos do sistema nervoso;G98 Outros transtornos do sistema nervoso não classificados em outra parte
G99;G90 G99 Outros transtornos do sistema nervoso;G99 Outros transtornos do sistema nervoso em doenças classificadas em outra parte
H00;H00 H06 Transtornos da pálpebra;H00 Hordéolo e calázio
H01;H00 H06 Transtornos da pálpebra;H01 Outras inflamações da pálpebra
H02;H00 H06 Transtornos da pálpebra;H02 Outros transtornos da pálpebra
H03;H00 H06 Transtornos da pálpebra;H03 Transtornos da pálpebra em doenças classificadas em outras partes
H04;H00 H06 Transtornos da pálpebra;H04 Transtornos do aparelho lacrimal
H05;H00 H06 Transtornos da pálpebra;H05 Transtornos da órbita
H06;H00 H06 Transtornos da pálpebra;H06 Transtornos do aparelho lacrimal e da órbita em doenças classificadas em outra parte
H10;H10 H13 Transtornos da conjuntiva;H10 Conjuntivite
H11;H10 H13 Transtornos da conjuntiva;H11 Outros transtornos da conjuntiva
H13;H10 H13 Transtornos da conjuntiva;H13 Transtornos da conjuntiva em doenças classificadas em outra parte
H15;H15 H22 Transtornos da esclerótica;H15 Transtornos da esclerótica
H16;H15 H22 Transtornos da esclerótica;H16 Ceratite
H17;H15 H22 Transtornos da esclerótica;H17 Ciidrizes e opacidades da córnea
H18;H15 H22 Transtornos da esclerótica;H18 Outros transtornos da córnea
H19;H15 H22 Transtornos da esclerótica;H19 Transtorno da esclerótica e da córnea em doenças classificadas em outra parte
H20;H15 H22 Transtornos da esclerótica;H20 Iridociclite
H21;H15 H22 Transtornos da esclerótica;H21 Outros transtornos da íris e do corpo ciliar
H22;H15 H22 Transtornos da esclerótica;H22 Transtornos da íris e do corpo ciliar em doenças classificadas em outra parte
H25;H25 H28 Transtornos do cristalino;H25 idarata senil
H26;H25 H28 Transtornos do cristalino;H26 Outras idaratas
H27;H25 H28 Transtornos do cristalino;H27 Outros transtornos do cristalino
H28;H25 H28 Transtornos do cristalino;H28 idarata e outros transtornos do cristalino em doenças classificadas em outra parte
H30;H30 H36 Transtornos da coróide e da retina;H30 Inflamação coriorretiniana
H31;H30 H36 Transtornos da coróide e da retina;H31 Outros transtornos da coróide
H32;H30 H36 Transtornos da coróide e da retina;H32 Transtornos coriorretinianos em doenças classificadas em outra parte
H33;H30 H36 Transtornos da coróide e da retina;H33 Descolamentos e defeitos da retina
H34;H30 H36 Transtornos da coróide e da retina;H34 Oclusões vasculares da retina
H35;H30 H36 Transtornos da coróide e da retina;H35 Outros transtornos da retina
H36;H30 H36 Transtornos da coróide e da retina;H36 Transtornos da retina em doenças classificadas em outra parte
H40;H40 H42 Glaucoma;H40 Glaucoma
H42;H40 H42 Glaucoma;H42 Glaucoma em doenças classificadas em outra parte
H43;H43 H45 Transtornos do humor vítreo e do globo ocular;H43 Transtornos do humor vítreo
H44;H43 H45 Transtornos do humor vítreo e do globo ocular;H44 Transtornos do globo ocular
H45;H43 H45 Transtornos do humor vítreo e do globo ocular;H45 Transtornos do humor vítreo e do globo ocular em doenças classificadas em outra parte
H46;H46 H48 Transtornos do nervo óptico e das vias ópticas;H46 Neurite óptica
H47;H46 H48 Transtornos do nervo óptico e das vias ópticas;H47 Outros transtornos do nervo óptico e das vias ópticas
H48;H46 H48 Transtornos do nervo óptico e das vias ópticas;H48 Transtornos do nervo óptico [segundo par] e das vias ópticas em doenças classificadas em outra parte
H49;H49 H52 Transtornos dos músculos oculares;H49 Estrabismo paralítico
H50;H49 H52 Transtornos dos músculos oculares;H50 Outros estrabismos
H51;H49 H52 Transtornos dos músculos oculares;H51 Outros transtornos do movimento binocular
H52;H49 H52 Transtornos dos músculos oculares;H52 Transtornos da refração e da acomodação
H53;H53 H54 Transtornos visuais e cegueira;H53 Distúrbios visuais
H54;H53 H54 Transtornos visuais e cegueira;H54 Cegueira e visão subnormal
H55;H55 H59 Outros transtornos do olho e anexos;H55 Nistagmo e outros movimentos irregulares do olho
H57;H55 H59 Outros transtornos do olho e anexos;H57 Outros transtornos do olho e anexos
H58;H55 H59 Outros transtornos do olho e anexos;H58 Outros transtornos do olho e anexos em doenças classificadas em outra parte
H59;H55 H59 Outros transtornos do olho e anexos;H59 Transtornos do olho e anexos pós-procedimento não classificados em outra parte
H60;H60 H62 Doenças do ouvido externo;H60 Otite externa
H61;H60 H62 Doenças do ouvido externo;H61 Outros transtornos do ouvido externo
H62;H60 H62 Doenças do ouvido externo;H62 Transtornos do ouvido externo em doenças classificadas em outra parte
H65;H65 H75 Doenças do ouvido médio e da mastóide;H65 Otite média não-supurativa
H66;H65 H75 Doenças do ouvido médio e da mastóide;H66 Otite média supurativa e as não especificadas
H67;H65 H75 Doenças do ouvido médio e da mastóide;H67 Otite média em doenças classificadas em outra parte
H68;H65 H75 Doenças do ouvido médio e da mastóide;H68 Salpingite e obstrução da trompa de Eustáquio
H69;H65 H75 Doenças do ouvido médio e da mastóide;H69 Outros transtornos da trompa de Eustáquio
H70;H65 H75 Doenças do ouvido médio e da mastóide;H70 Mastoidite e afecções correlatas
H71;H65 H75 Doenças do ouvido médio e da mastóide;H71 Colesteatoma do ouvido médio
H72;H65 H75 Doenças do ouvido médio e da mastóide;H72 Perfuração da membrana do tímpano
H73;H65 H75 Doenças do ouvido médio e da mastóide;H73 Outros transtornos da membrana do tímpano
H74;H65 H75 Doenças do ouvido médio e da mastóide;H74 Outros transtornos do ouvido médio e da mastóide
H75;H65 H75 Doenças do ouvido médio e da mastóide;H75 Outros transtornos do ouvido médio e da mastóide em doenças classificadas em outra parte
H80;H80 H83 Doenças do ouvido interno;H80 Otosclerose
H81;H80 H83 Doenças do ouvido interno;H81 Transtornos da função vestibular
H82;H80 H83 Doenças do ouvido interno;H82 Síndromes vertiginosas em doenças classificadas em outra parte
H83;H80 H83 Doenças do ouvido interno;H83 Outros transtornos do ouvido interno
H90;H90 H95 Outros transtornos do ouvido;H90 Perda de audição por transtorno de condução e/ou neuro-sensorial
H91;H90 H95 Outros transtornos do ouvido;H91 Outras perdas de audição
H92;H90 H95 Outros transtornos do ouvido;H92 Otalgia e secreção auditiva
H93;H90 H95 Outros transtornos do ouvido;H93 Outros transtornos do ouvido não classificados em outra parte
H94;H90 H95 Outros transtornos do ouvido;H94 Outros transtornos do ouvido em doenças classificadas em outra parte
H95;H90 H95 Outros transtornos do ouvido;H95 Transtornos do ouvido e da apófise mastóide pós-procedimentos
I00;I00 I02 Febre reumática aguda;I00 Febre reumática sem menção de comprometimento do coração
I01;I00 I02 Febre reumática aguda;I01 Febre reumática com comprometimento do coração
I02;I00 I02 Febre reumática aguda;I02 Coréia reumática
I05;I05 I09 Doenças reumáticas crônicas do coração;I05 Doenças reumáticas da valva mitral
I06;I05 I09 Doenças reumáticas crônicas do coração;I06 Doenças reumáticas da valva aórtica
I07;I05 I09 Doenças reumáticas crônicas do coração;I07 Doenças reumáticas da valva tricúspide
I08;I05 I09 Doenças reumáticas crônicas do coração;I08 Doenças de múltiplas valvas
I09;I05 I09 Doenças reumáticas crônicas do coração;I09 Outras doenças reumáticas do coração
I10;I10 I15 Doenças hipertensivas;I10 Hipertensão essencial (primária)
I11;I10 I15 Doenças hipertensivas;I11 Doença cardíaca hipertensiva
I12;I10 I15 Doenças hipertensivas;I12 Doença renal hipertensiva
I13;I10 I15 Doenças hipertensivas;I13 Doença cardíaca e renal hipertensiva
I15;I10 I15 Doenças hipertensivas;I15 Hipertensão secundária
I20;I20 I25 Doenças isquêmicas do coração;I20 Angina pectoris
I21;I20 I25 Doenças isquêmicas do coração;I21 Infarto agudo do miocárdio
I22;I20 I25 Doenças isquêmicas do coração;I22 Infarto do miocárdio recorrente
I23;I20 I25 Doenças isquêmicas do coração;I23 Algumas complicações atuais subseqüentes ao infarto agudo do miocárdio
I24;I20 I25 Doenças isquêmicas do coração;I24 Outras doenças isquêmicas agudas do coração
I25;I20 I25 Doenças isquêmicas do coração;I25 Doença isquêmica crônica do coração
I26;I26 I28 Doenças cardíaca pulmonar e da circulação pulmonar;I26 Embolia pulmonar
I27;I26 I28 Doenças cardíaca pulmonar e da circulação pulmonar;I27 Outras formas de doença cardíaca pulmonar
I28;I26 I28 Doenças cardíaca pulmonar e da circulação pulmonar;I28 Outras doenças dos vasos pulmonares
I30;I30 I52 Outras formas de doença do coração;I30 Pericardite aguda
I31;I30 I52 Outras formas de doença do coração;I31 Outras doenças do pericárdio
I32;I30 I52 Outras formas de doença do coração;I32 Pericardite em doenças classificadas em outra parte
I33;I30 I52 Outras formas de doença do coração;I33 Endocardite aguda e subaguda
I34;I30 I52 Outras formas de doença do coração;I34 Transtornos não-reumáticos da valva mitral
I35;I30 I52 Outras formas de doença do coração;I35 Transtornos não-reumáticos da valva aórtica
I36;I30 I52 Outras formas de doença do coração;I36 Transtornos não-reumáticos da valva tricúspide
I37;I30 I52 Outras formas de doença do coração;I37 Transtornos da valva pulmonar
I38;I30 I52 Outras formas de doença do coração;I38 Endocardite de valva não especificada
I39;I30 I52 Outras formas de doença do coração;I39 Endocardite e transtornos valvulares cardíacos em doenças classificadas em outra parte
I40;I30 I52 Outras formas de doença do coração;I40 Miocardite aguda
I41;I30 I52 Outras formas de doença do coração;I41 Miocardite em doenças classificadas em outra parte
I42;I30 I52 Outras formas de doença do coração;I42 Cardiomiopatias
I43;I30 I52 Outras formas de doença do coração;I43 Cardiomiopatia em doenças classificadas em outra parte
I44;I30 I52 Outras formas de doença do coração;I44 Bloqueio atrioventricular e do ramo esquerdo
I45;I30 I52 Outras formas de doença do coração;I45 Outros transtornos de condução
I46;I30 I52 Outras formas de doença do coração;I46 Parada cardíaca
I47;I30 I52 Outras formas de doença do coração;I47 Taquicardia paroxística
I48;I30 I52 Outras formas de doença do coração;I48 Flutter e fibrilacao atrial
I49;I30 I52 Outras formas de doença do coração;I49 Outras arritmias cardíacas
I50;I30 I52 Outras formas de doença do coração;I50 Insuficiência cardíaca
I51;I30 I52 Outras formas de doença do coração;I51 Complicações de cardiopatias e doenças cardíacas mal definidas
I52;I30 I52 Outras formas de doença do coração;I52 Outras afecções cardíacas em doenças classificadas em outra parte
I60;I60 I69 Doenças cerebrovasculares;I60 Hemorragia subaracnóide
I61;I60 I69 Doenças cerebrovasculares;I61 Hemorragia intracerebral
I62;I60 I69 Doenças cerebrovasculares;I62 Outras hemorragias intracranianas não-traumáticas
I63;I60 I69 Doenças cerebrovasculares;I63 Infarto cerebral
I64;I60 I69 Doenças cerebrovasculares;I64 Acidente vascular cerebral
I65;I60 I69 Doenças cerebrovasculares;I65 Oclusão e estenose de artérias pré-cerebrais que não resultam em infarto cerebral
I66;I60 I69 Doenças cerebrovasculares;I66 Oclusão e estenose de artérias cerebrais que não resultam em infarto cerebral
I67;I60 I69 Doenças cerebrovasculares;I67 Outras doenças cerebrovasculares
I68;I60 I69 Doenças cerebrovasculares;I68 Transtornos cerebrovasculares em doenças classificadas em outra parte
I69;I60 I69 Doenças cerebrovasculares;I69 Seqüelas de doenças cerebrovasculares
I70;I70 I79 Doenças das artérias;I70 Aterosclerose
I71;I70 I79 Doenças das artérias;I71 Aneurisma e dissecção da aorta
I72;I70 I79 Doenças das artérias;I72 Outros aneurismas
I73;I70 I79 Doenças das artérias;I73 Outras doenças vasculares periféricas
I74;I70 I79 Doenças das artérias;I74 Embolia e trombose arteriais
I77;I70 I79 Doenças das artérias;I77 Outras afecções das artérias e arteríolas
I78;I70 I79 Doenças das artérias;I78 Doenças dos capilares
I79;I70 I79 Doenças das artérias;I79 Transtornos das artérias
I80;I80 I89 Doenças das veias;I80 Flebite e tromboflebite
I81;I80 I89 Doenças das veias;I81 Trombose da veia porta
I82;I80 I89 Doenças das veias;I82 Outra embolia e trombose venosas
I83;I80 I89 Doenças das veias;I83 Varizes dos membros inferiores
I84;I80 I89 Doenças das veias;I84 Hemorróidas
I85;I80 I89 Doenças das veias;I85 Varizes esofagianas
I86;I80 I89 Doenças das veias;I86 Varizes de outras localizações
I87;I80 I89 Doenças das veias;I87 Outros transtornos das veias
I88;I80 I89 Doenças das veias;I88 Linfadenite inespecífica
I89;I80 I89 Doenças das veias;I89 Outros transtornos não-infecciosos dos vasos linfáticos e dos gânglios linfáticos
I95;I95 I99 Outros transtornos;I95 Hipotensão
I97;I95 I99 Outros transtornos;I97 Transtornos do aparelho circulatório
I98;I95 I99 Outros transtornos;I98 Outros transtornos do aparelho circulatório em doenças classificadas em outra parte
I99;I95 I99 Outros transtornos;I99 Outros transtornos do aparelho circulatório e os não especificados
J00;J00 J06 Infecções agudas das vias aéreas superiores;J00 Nasofaringite aguda [resfriado comum]
J01;J00 J06 Infecções agudas das vias aéreas superiores;J01 Sinusite aguda
